n_estimators,max_depth,CV_Mean_Accuracy,CV_Std,Bias,Variance
10,2,0.9875,0.005769230769230794,0.012499999999999956,0.005769230769230794
10,5,0.9942307692307694,0.005606684514274308,0.005769230769230638,0.005606684514274308
10,None,0.9951923076923077,0.004300130725961119,0.004807692307692291,0.004300130725961119
100,2,0.9942307692307694,0.003597747487282623,0.005769230769230638,0.003597747487282623
100,5,0.9932692307692307,0.004902903378454583,0.006730769230769318,0.004902903378454583
100,None,0.9932692307692307,0.004902903378454583,0.006730769230769318,0.004902903378454583
500,2,0.9875,0.005769230769230794,0.012499999999999956,0.005769230769230794
500,5,0.9932692307692307,0.004902903378454583,0.006730769230769318,0.004902903378454583
500,None,0.9932692307692307,0.004902903378454583,0.006730769230769318,0.004902903378454583
